number,value,datetime_start,datetime_complete,duration,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_num_layers,state
0,0.18216359615325928,2024-09-16 16:03:26.036652,2024-09-17 21:33:16.944580,1 days 05:29:50.907928,128,128,,,,,,2,PRUNED
1,0.7349777817726135,2024-09-16 16:03:26.041676,2024-09-17 20:44:44.954927,1 days 04:41:18.913251,64,128,32.0,64.0,128.0,,,5,COMPLETE
2,0.4966202676296234,2024-09-16 16:03:26.043653,2024-09-18 05:52:00.196931,1 days 13:48:34.153278,32,32,128.0,128.0,32.0,64.0,128.0,7,COMPLETE
3,0.4966202676296234,2024-09-16 16:03:26.048615,2024-09-18 06:22:39.117912,1 days 14:19:13.069297,32,64,64.0,64.0,16.0,32.0,,6,COMPLETE
4,0.4966202676296234,2024-09-16 16:03:26.052613,2024-09-18 04:05:46.125136,1 days 12:02:20.072523,32,64,32.0,32.0,128.0,16.0,64.0,7,COMPLETE
5,0.7426658272743225,2024-09-16 16:03:26.052613,2024-09-17 19:29:22.994483,1 days 03:25:56.941870,128,128,128.0,,,,,3,COMPLETE
6,0.7426453232765198,2024-09-16 16:03:26.053612,2024-09-17 11:23:10.846551,0 days 19:19:44.792939,32,64,64.0,,,,,3,COMPLETE
7,0.492466002702713,2024-09-16 16:03:26.062615,2024-09-17 22:52:06.190428,1 days 06:48:40.127813,32,16,16.0,128.0,128.0,128.0,128.0,7,PRUNED
8,0.7426885962486267,2024-09-16 16:03:26.064463,2024-09-17 16:15:28.025275,1 days 00:12:01.960812,16,128,64.0,,,,,3,COMPLETE
9,0.7426453232765198,2024-09-16 16:03:26.116496,2024-09-17 12:29:45.159267,0 days 20:26:19.042771,64,16,,,,,,2,COMPLETE
